generation_counter,sum(fitness)
1,28742
2,28961
3,29154
4,29393
5,29686
6,29792
7,29827
8,30173
9,30350
10,30488
11,30622
12,30737
13,30790
14,30868
15,30860
16,30864
17,30884
18,30710
19,30889
20,31025
21,31124
22,31258
23,31240
24,31315
25,31285
26,31312
27,31476
28,31466
29,31508
30,31507
31,31582
32,31572
33,31699
34,31763
35,31746
36,31780
37,31792
38,31981
39,32164
40,32260
41,32334
42,32338
43,32438
44,32509
45,32518
46,32594
47,32531
48,32562
49,32598
50,32530
51,32636
52,32707
53,32789
54,32854
55,32942
56,32940
57,32918
58,32968
59,32904
60,32944
61,32930
62,33024
63,32985
64,32980
65,33017
66,33059
67,33072
68,33025
69,33049
70,32992
71,33001
72,33112
73,33038
74,32964
75,33024
76,33067
77,33088
78,33110
79,33165
80,33095
81,33163
82,33091
83,33153
84,33158
85,33125
86,33058
87,33084
88,33122
89,33182
90,33044
91,33089
92,33062
93,32949
94,32979
95,32994
96,33003
97,33109
98,33016
99,32993
100,33007
101,32839
102,33015
103,33033
104,33040
105,33060
106,33052
107,33096
108,33111
109,33194
110,33178
111,33203
112,33141
113,33188
114,33023
115,32945
116,32939
117,32907
118,33039
119,33111
120,33049
121,33113
122,33144
123,33147
124,33147
125,33110
126,33076
127,33010
128,32868
129,32867
130,32948
131,32961
132,32992
133,33088
134,33110
135,33203
136,33167
137,33258
138,33394
139,33220
140,33246
141,33256
142,33332
143,33328
144,33294
145,33339
146,33299
147,33325
148,33444
149,33562
150,33464
151,33504
152,33469
153,33478
154,33454
155,33473
156,33474
157,33467
158,33335
159,33363
160,33332
161,33312
162,33272
163,33425
164,33402
165,33447
166,33516
167,33528
168,33516
169,33634
170,33626
171,33582
172,33515
173,33534
174,33625
175,33529
176,33500
177,33510
178,33458
179,33438
180,33406
181,33445
182,33394
183,33429
184,33355
185,33370
186,33371
187,33264
188,33275
189,33294
190,33260
191,33277
192,33329
193,33320
194,33388
195,33468
196,33325
197,33347
198,33265
199,33352
200,33433
