generation_counter,sum(fitness)
1,12109
2,12261
3,12441
4,12552
5,12688
6,12760
7,12757
8,12783
9,12859
10,12881
11,13034
12,13121
13,13238
14,13316
15,13379
16,13408
17,13446
18,13573
19,13555
20,13596
21,13605
22,13662
23,13612
24,13607
25,13717
26,13733
27,13723
28,13725
29,13775
30,13793
31,13830
32,13848
33,13840
34,13850
35,13836
36,13899
37,13908
38,13957
39,13984
40,14018
41,14021
42,14040
43,14075
44,14095
45,14091
46,14144
47,14137
48,14145
49,14205
50,14269
51,14221
52,14277
53,14356
54,14336
55,14314
56,14327
57,14316
58,14383
59,14357
60,14378
61,14402
62,14339
63,14332
64,14377
65,14321
66,14349
67,14385
68,14362
69,14364
70,14372
71,14358
72,14355
73,14362
74,14384
75,14387
76,14334
77,14384
78,14426
79,14362
80,14335
81,14347
82,14376
83,14330
84,14336
85,14340
86,14328
87,14381
88,14349
89,14395
90,14371
91,14373
92,14377
93,14406
94,14440
95,14358
96,14395
97,14347
98,14299
99,14384
100,14330
101,14332
102,14354
103,14363
104,14352
105,14374
106,14361
107,14404
108,14364
109,14363
110,14355
111,14332
112,14308
113,14373
114,14329
115,14394
116,14321
117,14335
118,14330
119,14335
120,14336
121,14309
122,14415
123,14394
124,14380
125,14352
126,14394
127,14380
128,14347
129,14334
130,14335
131,14375
132,14315
133,14339
134,14314
135,14399
136,14395
137,14358
138,14341
139,14377
140,14354
141,14406
142,14341
143,14391
144,14366
145,14366
146,14245
147,14289
148,14368
149,14350
150,14355
151,14320
152,14374
153,14356
154,14323
155,14304
156,14339
157,14338
158,14399
159,14406
160,14389
161,14313
162,14334
163,14314
164,14364
165,14320
166,14318
167,14382
168,14330
169,14321
170,14397
171,14332
172,14327
173,14370
174,14348
175,14344
176,14314
177,14364
178,14334
179,14373
180,14331
181,14336
182,14374
183,14326
184,14350
185,14296
186,14333
187,14327
188,14354
189,14382
190,14386
191,14408
192,14386
193,14372
194,14424
195,14425
196,14374
197,14370
198,14363
199,14343
200,14376
