id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 1.99, 995, 795
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 2.118, 1059, 759
11, 6.56, 1263, 963
12, 17.214, 1351, 951
13, 40.526, 1329, 829
14, 50.208, 1389, 989
15, 56.838, 1490, 990
16, 94.652, 1564, 964
17, 118.402, 1486, 986
18, 128.434, 1443, 943
19, 172.386, 1570, 970
20, 184.276, 1564, 964
21, 266.244, 1577, 977
22, 267.14, 1573, 973
23, 277.212, 1617, 917
24, 287.858, 1686, 986
25, 377.07, 1693, 993
26, 394.128, 1693, 993
27, 403.026, 1678, 978
28, 416.57, 1693, 993
29, 438.486, 1693, 993
30, 496.088, 1693, 993
31, 531.252, 1724, 924
32, 541.282, 1794, 994
33, 551.712, 1794, 994
34, 588.912, 1794, 994
35, 701.804, 1794, 994
36, 683.236, 1794, 994
37, 728.868, 1794, 994
38, 722.864, 1794, 994
39, 803.848, 1794, 994
40, 865.444, 1794, 994
41, 928.926, 1794, 994
42, 921.454, 1794, 994
43, 998.372, 1794, 994
44, 1025.666, 1794, 994
45, 1101.344, 1794, 994
46, 1140.308, 1794, 994
47, 1270.028, 1794, 994
48, 1272.234, 1794, 994
49, 1266.412, 1794, 994
50, 1375.064, 1794, 994
51, 1375.618, 1794, 994
52, 1417.528, 1794, 994
53, 1439.416, 1794, 994
54, 1451.5, 1794, 994
55, 1489.518, 1794, 994
56, 1533.782, 1794, 994
57, 1546.496, 1794, 994
58, 1598.872, 1794, 994
59, 1587.316, 1794, 994
60, 1192.85, 1794, 994
61, 1312.17, 1794, 994
62, 1342.424, 1794, 994
63, 1307.08, 1794, 994
64, 1402.806, 1794, 994
65, 1458.038, 1794, 994
66, 1469.34, 1794, 994
67, 1492.28, 1794, 994
68, 1173.156, 1794, 994
69, 1231.078, 1794, 994
70, 1275.062, 1794, 994
71, 1311.026, 1794, 994
72, 1371.908, 1794, 994
73, 1415.282, 1794, 994
74, 1131.576, 1794, 994
75, 1088.368, 1794, 994
76, 1139.28, 1794, 994
77, 1185.318, 1794, 994
78, 1251.888, 1794, 994
79, 1292.418, 1794, 994
80, 1367.16, 1794, 994
81, 1415.928, 1794, 994
82, 1384.32, 1794, 994
83, 1119.544, 1794, 994
84, 1211.608, 1794, 994
85, 1286.506, 1794, 994
86, 1199.784, 1794, 994
87, 1371.628, 1794, 994
88, 1405.652, 1794, 994
89, 1412.258, 1794, 994
90, 1480.034, 1794, 994
91, 1484.97, 1794, 994
92, 1508.872, 1794, 994
93, 1506.072, 1794, 994
94, 1546.084, 1794, 994
95, 1552.76, 1794, 994
96, 1617.726, 1794, 994
97, 1621.332, 1794, 994
98, 1628.508, 1794, 994
99, 1625.364, 1794, 994
100, 1661.244, 1794, 994
101, 1732.33, 1794, 994
102, 1635.066, 1794, 994
103, 1681.022, 1794, 994
104, 1725.384, 1794, 994
105, 1729.416, 1794, 994
106, 1635.34, 1794, 994
107, 1667.274, 1794, 994
108, 1660.798, 1794, 994
109, 1682.38, 1794, 994
110, 1677.254, 1794, 994
111, 1579.368, 1794, 994
112, 1622.54, 1794, 994
113, 1595.828, 1794, 994
114, 1605.956, 1794, 994
115, 1613.768, 1794, 994
116, 1208.104, 1794, 994
117, 1222.036, 1794, 994
118, 1386.24, 1794, 994
119, 1225.2, 1794, 994
120, 1250.104, 1794, 994
121, 1240.82, 1794, 994
122, 1374.84, 1794, 994
123, 1330.728, 1794, 994
124, 1318.276, 1794, 994
125, 1328.196, 1794, 994
126, 961.164, 1794, 994
127, 1084.632, 1794, 994
128, 1176.232, 1794, 994
129, 1144.28, 1794, 994
130, 1200.028, 1794, 994
131, 1264.444, 1794, 994
132, 1369.24, 1794, 994
133, 1402.04, 1794, 994
134, 1398.896, 1794, 994
135, 1470.816, 1794, 994
136, 1449.136, 1794, 994
137, 1369.632, 1794, 994
138, 1390.644, 1794, 994
139, 967.722, 1794, 994
140, 1050.548, 1794, 994
141, 1090.948, 1794, 994
142, 1133.604, 1794, 994
143, 1253.252, 1794, 994
144, 1275.268, 1794, 994
145, 1299.408, 1794, 994
146, 1333.084, 1794, 994
147, 1391.816, 1794, 994
148, 1335.872, 1794, 994
149, 1381.132, 1794, 994
150, 1431.684, 1794, 994
151, 1453.656, 1794, 994
152, 1509.288, 1794, 994
153, 1533.444, 1794, 994
154, 1575.612, 1794, 994
155, 1607.016, 1794, 994
156, 1644.228, 1794, 994
157, 1652.772, 1794, 994
158, 1650.116, 1794, 994
159, 1651.448, 1794, 994
160, 1694.948, 1794, 994
161, 1690.872, 1794, 994
162, 1698.936, 1794, 994
163, 1728.084, 1794, 994
164, 1727.196, 1794, 994
165, 1225.764, 1794, 994
166, 1402.02, 1794, 994
167, 1366.14, 1794, 994
168, 1449.108, 1794, 994
169, 1467.048, 1794, 994
170, 1435.2, 1794, 994
171, 1458.984, 1794, 994
172, 1485.432, 1794, 994
173, 1553.604, 1794, 994
174, 1567.512, 1794, 994
175, 1600.248, 1794, 994
176, 1571.1, 1794, 994
177, 1588.64, 1794, 994
178, 1635.684, 1794, 994
179, 1660.8, 1794, 994
180, 1679.184, 1794, 994
181, 1657.656, 1794, 994
182, 1689.948, 1794, 994
183, 1700.712, 1794, 994
184, 1704.3, 1794, 994
185, 1754.532, 1794, 994
186, 1722.24, 1794, 994
187, 1758.12, 1794, 994
188, 1413.672, 1794, 994
189, 1449.552, 1794, 994
190, 1492.672, 1794, 994
191, 1482.344, 1794, 994
192, 1494.416, 1794, 994
193, 1538.126, 1794, 994
194, 1556.066, 1794, 994
195, 1560.962, 1794, 994
196, 1574.66, 1794, 994
197, 1633.276, 1794, 994
198, 1613.056, 1794, 994
199, 1657.42, 1794, 994
200, 1682.1, 1794, 994
201, 1658.292, 1794, 994
202, 1686.778, 1794, 994
203, 1691.02, 1794, 994
204, 1711.24, 1794, 994
205, 1718.316, 1794, 994
206, 1734.73, 1794, 994
207, 1744.304, 1794, 994
208, 1740.926, 1794, 994
209, 1696.134, 1794, 994
210, 1752.352, 1794, 994
211, 1769.202, 1794, 994
212, 1770.51, 1794, 994
213, 1763.77, 1794, 994
214, 1763.116, 1794, 994
215, 1756.376, 1794, 994
216, 1770.728, 1794, 994
217, 1782.364, 1794, 994
218, 1770.728, 1794, 994
219, 1778.122, 1794, 994
220, 1774.316, 1794, 994
221, 1402.908, 1794, 994
222, 1054.436, 1794, 994
223, 1050.848, 1794, 994
224, 667.15, 1794, 994
225, 831.762, 1794, 994
226, 858.408, 1794, 994
227, 1031.82, 1794, 994
228, 1047.032, 1794, 994
229, 1083.982, 1794, 994
230, 1174.234, 1794, 994
231, 1175.776, 1794, 994
232, 1188.72, 1794, 994
233, 1327.202, 1794, 994
234, 1360.752, 1794, 994
235, 1366.31, 1794, 994
236, 1344.516, 1794, 994
237, 1181.422, 1794, 994
238, 1251.564, 1794, 994
239, 1011.552, 1794, 994
240, 1114.558, 1794, 994
241, 1140.53, 1794, 994
242, 1125.334, 1794, 994
243, 1293.936, 1794, 994
244, 1375.472, 1794, 994
245, 1316.132, 1794, 994
246, 1343.81, 1794, 994
247, 1386.11, 1794, 994
248, 1428.1, 1794, 994
249, 1466.074, 1794, 994
250, 1152.764, 1794, 994
251, 1144.326, 1794, 994
252, 1204.73, 1794, 994
253, 1243.4, 1794, 994
254, 1292.786, 1794, 994
255, 1363.494, 1794, 994
256, 1386.08, 1794, 994
257, 1438.69, 1794, 994
258, 1431.264, 1794, 994
259, 1517.43, 1794, 994
260, 1122.718, 1794, 994
261, 1182.274, 1794, 994
262, 1250.236, 1794, 994
263, 1264.18, 1794, 994
264, 1273.898, 1794, 994
265, 1315.26, 1794, 994
266, 1380.47, 1794, 994
267, 1476.934, 1794, 994
268, 1523.772, 1794, 994
269, 1513.464, 1794, 994
270, 1413.218, 1794, 994
271, 1178.308, 1794, 994
272, 1259.778, 1794, 994
273, 795.68, 1794, 994
274, 929.292, 1794, 994
275, 928.646, 1794, 994
276, 1071.528, 1794, 994
277, 920.63, 1794, 994
278, 1068.166, 1794, 994
279, 1033.344, 1794, 994
280, 821.438, 1794, 994
281, 874.83, 1794, 994
282, 753.48, 1794, 994
283, 807.086, 1794, 994
284, 939.628, 1794, 994
285, 1093.912, 1794, 994
286, 1043.894, 1794, 994
287, 1025.954, 1794, 994
