id, avg_value, best_value, best_weight
0, 107.905, 294, 260
1, 115.79, 295, 269
2, 131.03, 295, 269
3, 118.385, 295, 269
4, 133.315, 295, 269
5, 141.385, 295, 269
6, 142.89, 295, 269
7, 148.465, 295, 269
8, 127.445, 295, 269
9, 144.35, 295, 269
10, 154.995, 295, 269
11, 144.595, 295, 269
12, 157.295, 295, 269
13, 152.315, 295, 269
14, 163.74, 295, 269
15, 172.12, 295, 269
16, 171.73, 295, 269
17, 141.16, 295, 269
18, 143.865, 295, 269
19, 166.56, 295, 269
20, 188.665, 295, 269
21, 142.815, 295, 269
22, 165.915, 295, 269
23, 175.47, 295, 269
24, 161.61, 295, 269
25, 151.21, 295, 269
26, 193.585, 295, 269
27, 179.615, 295, 269
28, 179.145, 295, 269
29, 170.85, 295, 269
30, 181.26, 295, 269
31, 170.62, 295, 269
32, 182.675, 295, 269
33, 192.545, 295, 269
34, 186.96, 295, 269
35, 204.58, 295, 269
36, 214.32, 295, 269
37, 221.58, 295, 269
38, 204.365, 295, 269
39, 197.56, 295, 269
40, 214.82, 295, 269
41, 211.135, 295, 269
42, 201.415, 295, 269
43, 178.54, 295, 269
44, 178.35, 295, 269
45, 184.225, 295, 269
46, 199.795, 295, 269
47, 199.43, 295, 269
48, 175.1, 295, 269
49, 167.115, 295, 269
50, 157.01, 295, 269
51, 146.675, 295, 269
52, 137.305, 295, 269
53, 149.36, 295, 269
54, 149.68, 295, 269
55, 177.12, 295, 269
56, 183.86, 295, 269
57, 172.1, 295, 269
58, 186.055, 295, 269
59, 194.405, 295, 269
60, 191.275, 295, 269
61, 189.065, 295, 269
62, 160.435, 295, 269
63, 169.1, 295, 269
64, 157.445, 295, 269
65, 162.485, 295, 269
66, 176.115, 295, 269
67, 194.59, 295, 269
68, 185.665, 295, 269
69, 192.02, 295, 269
70, 206.41, 295, 269
71, 206.86, 295, 269
72, 194.475, 295, 269
73, 191.66, 295, 269
74, 191.55, 295, 269
75, 194.545, 295, 269
76, 174.935, 295, 269
77, 208.82, 295, 269
78, 208.86, 295, 269
79, 178.235, 295, 269
80, 169.57, 295, 269
81, 182.97, 295, 269
82, 194.895, 295, 269
83, 208.88, 295, 269
84, 181.79, 295, 269
85, 171.83, 295, 269
86, 185.305, 295, 269
87, 179.37, 295, 269
88, 167.605, 295, 269
89, 170.57, 295, 269
90, 162.41, 295, 269
91, 174.17, 295, 269
92, 184.44, 295, 269
93, 121.39, 295, 269
94, 144.175, 295, 269
95, 145.515, 295, 269
96, 169.755, 295, 269
97, 179.66, 295, 269
98, 159.915, 295, 269
99, 155.29, 295, 269
100, 169.805, 295, 269
101, 169.16, 295, 269
102, 167.745, 295, 269
